,date,MSFT,AMZN,COST,ALK,SBUX
0,2013-02-08,27.55,261.95,102.79,24.335,28.185
1,2013-02-11,27.86,257.21,101.99,24.4,28.07
2,2013-02-12,27.88,258.7,101.76,24.43,28.13
3,2013-02-13,28.03,269.47,101.63,24.76,27.915
4,2013-02-14,28.04,269.24,102.02,24.355,27.775
5,2013-02-15,28.01,265.09,102.17,24.49,27.17
6,2013-02-19,28.045,269.75,101.9,25.15,27.225
7,2013-02-20,27.87,266.41,101.08,24.625,26.655
8,2013-02-21,27.49,265.94,100.69,24.82,26.675
9,2013-02-22,27.76,265.42,101.16,25.4,27.085
10,2013-02-25,27.37,259.87,100.09,24.775,26.605
11,2013-02-26,27.37,259.36,99.45,24.995,26.64
12,2013-02-27,27.81,263.25,100.73,25.72,27.285
13,2013-02-28,27.8,264.27,101.29,25.775,27.425
14,2013-03-01,27.95,265.74,101.42,26.2,27.435
15,2013-03-04,28.15,273.11,103.43,27.265,27.85
16,2013-03-05,28.35,275.59,103.15,27.925,28.255
17,2013-03-06,28.09,273.79,102.56,27.84,28.55
18,2013-03-07,28.14,273.88,101.97,28.015,29.125
19,2013-03-08,28.0,274.19,103.04,28.75,29.335
20,2013-03-11,27.87,271.24,102.44,28.555,29.305
21,2013-03-12,27.91,274.13,103.75,28.515,29.14
22,2013-03-13,27.915,275.1,103.42,29.73,29.2925
23,2013-03-14,28.135,265.74,102.91,29.775,28.84
24,2013-03-15,28.035,261.82,101.74600000000001,29.62,28.83
25,2013-03-18,28.1,257.89,101.68,30.29,28.465
26,2013-03-19,28.18,256.41,102.12,30.46,28.415
27,2013-03-20,28.315,257.278,103.08,31.5,28.715
28,2013-03-21,28.11,253.39,103.52,30.925,28.525
29,2013-03-22,28.25,257.75,105.11,31.425,28.69
30,2013-03-25,28.16,256.02,105.47,31.16,28.345
31,2013-03-26,28.155,260.31,105.97,31.395,28.525
32,2013-03-27,28.37,265.3,106.64,31.645,28.455
33,2013-03-28,28.605,266.49,106.11,31.98,28.475
34,2013-04-01,28.61,261.61,105.81,31.8,28.435
35,2013-04-02,28.8,263.322,107.68,29.63,29.13
36,2013-04-03,28.56,259.03,106.36,28.91,28.85
37,2013-04-04,28.595,259.08,106.36,29.935,29.055
38,2013-04-05,28.7,255.48,105.8,29.685,28.9
39,2013-04-08,28.59,258.95,107.04,30.105,29.06
40,2013-04-09,29.61,261.14,105.79,29.525,28.705
41,2013-04-10,30.28,264.77,105.75,29.85,28.9
42,2013-04-11,28.935,269.85,106.01,29.69,29.2875
43,2013-04-12,28.79,272.87,106.13,29.57,29.545
44,2013-04-15,28.69,267.72,104.21,28.315,28.855
45,2013-04-16,28.97,272.34,105.55,30.56,29.28
46,2013-04-17,28.825,267.4,104.77,29.92,29.085
47,2013-04-18,28.79,259.42,103.61,29.355,28.86
48,2013-04-19,29.765,260.32,104.45,30.175,29.2025
49,2013-04-22,30.83,263.55,105.16,29.79,29.32
50,2013-04-23,30.6,268.9,107.25,30.57,29.695
51,2013-04-24,31.76,268.78,107.83,30.44,29.915
52,2013-04-25,31.94,274.7,109.13,30.12,30.25
53,2013-04-26,31.79,254.81,109.27,30.33,30.0
54,2013-04-29,32.61,249.74,108.63,30.58,30.29
55,2013-04-30,33.1,253.81,108.43,30.82,30.42
56,2013-05-01,32.72,248.23,108.22,29.865,30.07
57,2013-05-02,33.16,252.55,108.69,30.35,30.19
58,2013-05-03,33.49,258.05,109.75,31.365,30.935
59,2013-05-06,33.75,255.72,109.09,33.075,31.24
60,2013-05-07,33.31,257.73,109.71,33.735,31.095
61,2013-05-08,32.99,258.68,109.61,33.665,31.205
62,2013-05-09,32.66,260.16,109.14,32.915,31.18
63,2013-05-10,32.69,263.63,109.99,33.075,31.5485
64,2013-05-13,33.03,264.51,110.01,32.96,31.41
65,2013-05-14,33.53,268.33,111.39,32.735,31.76
66,2013-05-15,33.845,266.56,112.82,32.955,32.035
67,2013-05-16,34.08,264.12,111.51,31.975,31.775
68,2013-05-17,34.87,269.9,113.05,32.605,32.065
69,2013-05-20,35.08,267.63,112.02,29.865,31.915
70,2013-05-21,34.85,268.86,113.48,29.27,32.125
71,2013-05-22,34.61,262.96,113.38,28.78,32.075
72,2013-05-23,34.15,261.8,113.19,29.58,31.76
73,2013-05-24,34.269,261.74,114.39,29.315,31.68
74,2013-05-28,35.02,267.29,114.83,28.095,32.13
75,2013-05-29,34.88,265.53,112.95,27.975,31.815
76,2013-05-30,35.03,266.83,111.88,28.12,31.735
77,2013-05-31,34.9,269.2,109.631,28.41,31.57
78,2013-06-03,35.59,266.88,110.88,28.21,31.73
79,2013-06-04,34.99,265.7,110.66,28.255,31.665
80,2013-06-05,34.78,267.17,109.17,27.475,31.17
81,2013-06-06,34.96,267.83,111.09,27.395,31.51
82,2013-06-07,35.67,276.87,110.58,28.705,32.52
83,2013-06-10,35.47,281.07,110.31,28.125,33.055
84,2013-06-11,34.84,274.78,110.02,28.135,32.71
85,2013-06-12,35.0,271.67,109.4,28.2,32.225
86,2013-06-13,34.715,275.79,110.88,28.465,32.985
87,2013-06-14,34.4,273.99,111.0,28.01,32.8
88,2013-06-17,35.0,278.06,111.7,27.665,33.015
89,2013-06-18,34.98,281.76,112.085,28.14,33.5475
90,2013-06-19,34.59,278.16,110.19,27.415,33.205
91,2013-06-20,33.49,273.44,107.56,26.78,32.61
92,2013-06-21,33.265,273.36,108.65,26.075,32.345
93,2013-06-24,33.715,270.61,109.64,25.48,32.005
94,2013-06-25,33.67,272.08799999999997,110.25,25.595,32.37
95,2013-06-26,34.35,277.57,111.18,25.21,32.9
96,2013-06-27,34.62,277.55,111.49,26.045,32.845
97,2013-06-28,34.545,277.69,110.57,26.0,32.755
98,2013-07-01,34.36,282.1,110.43,26.425,33.12
99,2013-07-02,33.94,283.73,110.85,25.975,33.395
100,2013-07-03,34.01,284.03,110.91,25.91,33.65
101,2013-07-05,34.21,285.88,111.76,26.14,33.86
102,2013-07-08,34.325,290.59,112.62,25.975,34.145
103,2013-07-09,34.35,291.53,113.35,27.965,34.065
104,2013-07-10,34.7,292.33,113.65,28.77,34.05
105,2013-07-11,35.685,299.66,115.895,29.78,34.67
106,2013-07-12,35.67,307.55,116.46,30.535,34.86
107,2013-07-15,36.17,306.57,115.89,30.535,34.83
108,2013-07-16,36.27,306.87,116.53,30.08,34.76
109,2013-07-17,35.74,308.69,117.4,30.855,34.1
110,2013-07-18,35.44,304.11,117.06,30.935,34.24
