date,Name,close
2/8/13,MSFT,27.55
2/11/13,MSFT,27.86
2/12/13,MSFT,27.88
2/13/13,MSFT,28.03
2/14/13,MSFT,28.04
2/15/13,MSFT,28.01
2/19/13,MSFT,28.045
2/20/13,MSFT,27.87
2/21/13,MSFT,27.49
2/22/13,MSFT,27.76
2/25/13,MSFT,27.37
2/26/13,MSFT,27.37
2/27/13,MSFT,27.81
2/28/13,MSFT,27.8
3/1/13,MSFT,27.95
3/4/13,MSFT,28.15
3/5/13,MSFT,28.35
3/6/13,MSFT,28.09
3/7/13,MSFT,28.14
3/8/13,MSFT,28
3/11/13,MSFT,27.87
3/12/13,MSFT,27.91
3/13/13,MSFT,27.915
3/14/13,MSFT,28.135
3/15/13,MSFT,28.035
3/18/13,MSFT,28.1
3/19/13,MSFT,28.18
3/20/13,MSFT,28.315
3/21/13,MSFT,28.11
3/22/13,MSFT,28.25
3/25/13,MSFT,28.16
3/26/13,MSFT,28.155
3/27/13,MSFT,28.37
3/28/13,MSFT,28.605
4/1/13,MSFT,28.61
4/2/13,MSFT,28.8
4/3/13,MSFT,28.56
4/4/13,MSFT,28.595
4/5/13,MSFT,28.7
4/8/13,MSFT,28.59
4/9/13,MSFT,29.61
4/10/13,MSFT,30.28
4/11/13,MSFT,28.935
4/12/13,MSFT,28.79
4/15/13,MSFT,28.69
4/16/13,MSFT,28.97
4/17/13,MSFT,28.825
4/18/13,MSFT,28.79
4/19/13,MSFT,29.765
4/22/13,MSFT,30.83
4/23/13,MSFT,30.6
4/24/13,MSFT,31.76
4/25/13,MSFT,31.94
4/26/13,MSFT,31.79
4/29/13,MSFT,32.61
4/30/13,MSFT,33.1
5/1/13,MSFT,32.72
5/2/13,MSFT,33.16
5/3/13,MSFT,33.49
5/6/13,MSFT,33.75
5/7/13,MSFT,33.31
5/8/13,MSFT,32.99
5/9/13,MSFT,32.66
5/10/13,MSFT,32.69
5/13/13,MSFT,33.03
5/14/13,MSFT,33.53
5/15/13,MSFT,33.845
5/16/13,MSFT,34.08
5/17/13,MSFT,34.87
5/20/13,MSFT,35.08
5/21/13,MSFT,34.85
5/22/13,MSFT,34.61
5/23/13,MSFT,34.15
5/24/13,MSFT,34.269
5/28/13,MSFT,35.02
5/29/13,MSFT,34.88
5/30/13,MSFT,35.03
5/31/13,MSFT,34.9
6/3/13,MSFT,35.59
6/4/13,MSFT,34.99
6/5/13,MSFT,34.78
6/6/13,MSFT,34.96
6/7/13,MSFT,35.67
6/10/13,MSFT,35.47
6/11/13,MSFT,34.84
6/12/13,MSFT,35
6/13/13,MSFT,34.715
6/14/13,MSFT,34.4
6/17/13,MSFT,35
6/18/13,MSFT,34.98
6/19/13,MSFT,34.59
6/20/13,MSFT,33.49
6/21/13,MSFT,33.265
6/24/13,MSFT,33.715
6/25/13,MSFT,33.67
6/26/13,MSFT,34.35
6/27/13,MSFT,34.62
6/28/13,MSFT,34.545
7/1/13,MSFT,34.36
7/2/13,MSFT,33.94
7/3/13,MSFT,34.01
7/5/13,MSFT,34.21
7/8/13,MSFT,34.325
7/9/13,MSFT,34.35
7/10/13,MSFT,34.7
7/11/13,MSFT,35.685
7/12/13,MSFT,35.67
7/15/13,MSFT,36.17
7/16/13,MSFT,36.27
7/17/13,MSFT,35.74
7/18/13,MSFT,35.44
7/19/13,MSFT,31.4
7/22/13,MSFT,32.01
7/23/13,MSFT,31.82
7/24/13,MSFT,31.96
7/25/13,MSFT,31.39
7/26/13,MSFT,31.62
7/29/13,MSFT,31.54
7/30/13,MSFT,31.85
7/31/13,MSFT,31.84
8/1/13,MSFT,31.67
8/2/13,MSFT,31.89
8/5/13,MSFT,31.7
8/6/13,MSFT,31.58
8/7/13,MSFT,32.063
8/8/13,MSFT,32.89
8/9/13,MSFT,32.7
8/12/13,MSFT,32.87
8/13/13,MSFT,32.23
8/14/13,MSFT,32.35
8/15/13,MSFT,31.79
8/16/13,MSFT,31.8
